transmit I-Claim
the I-Claim
mutation I-Claim
to I-Claim
50%. I-Claim

4- O
There B-Claim
is I-Claim
no I-Claim
risk: I-Claim
the I-Claim
inheritance I-Claim
of I-Claim
the I-Claim
disease I-Claim
is I-Claim
of I-Claim
the I-Claim
mitochondrial I-Claim
type, I-Claim
never I-Claim
transmitted I-Claim
by I-Claim
males. I-Claim

5- O
According B-Claim
to I-Claim
autosomal I-Claim
recessive I-Claim
inheritance, I-Claim
25% I-Claim
of I-Claim
their I-Claim
children I-Claim
will I-Claim
manifest I-Claim
the I-Claim
disease I-Claim
in I-Claim
childhood, I-Claim
regardless I-Claim
of I-Claim
sex. I-Claim

CORRECT O
ANSWER: O
3 O

It B-Claim
is I-Claim
the I-Claim
male I-Claim
who I-Claim
presents I-Claim
the I-Claim
disease, I-Claim
which I-Claim
we I-Claim
are I-Claim
told I-Claim
is I-Claim
X-linked, I-Claim
so I-Claim
there I-Claim
are I-Claim
only I-Claim
two I-Claim
options I-Claim
left: I-Claim
2 I-Claim
and I-Claim
3. I-Claim

2 B-Claim
is I-Claim
not I-Claim
because I-Claim
the I-Claim
males I-Claim
will I-Claim
receive I-Claim
the I-Claim
Y I-Claim
chromosome I-Claim
from I-Claim
the I-Claim
father I-Claim
and I-Claim
the I-Claim
X I-Claim
from I-Claim
the I-Claim
mother, I-Claim
who I-Claim
is I-Claim
healthy, I-Claim
so I-Claim
the I-Claim
daughters I-Claim
will I-Claim
be I-Claim
able I-Claim
to I-Claim
carry I-Claim
the I-Claim
disease I-Claim
(correct I-Claim
option I-Claim
3). I-Claim

QUESTION O
TYPE: O
GYNECOLOGY O
AND O
OBSTETRICS O

CLINICAL O
CASE: O

A B-Premise
32-year-old I-Premise
asymptomatic I-Premise
woman I-Premise
goes I-Premise
for I-Premise
a I-Premise
gynecological I-Premise
health I-Premise
check-up I-Premise
because I-Premise
she I-Premise
wishes I-Premise
to I-Premise
become I-Premise
pregnant. I-Premise

During B-Premise
this I-Premise
check-up, I-Premise
a I-Premise
4cm I-Premise
uterine I-Premise
myoma I-Premise
is I-Premise
detected, I-Premise
partly I-Premise
intramural I-Premise
and I-Premise
partly I-Premise
subserosal, I-Premise
located I-Premise
on I-Premise
the I-Premise
anterior I-Premise
aspect I-Premise
of I-Premise
the I-Premise
uterus I-Premise
and I-Premise
which I-Premise
does I-Premise
not I-Premise
deform I-Premise
the I-Premise
endometrial I-Premise
cavity. I-Premise

What O
approach O
would O
you O
recommend? O

1- O
Laparoscopic B-Claim
myomectomy. I-Claim

2- O
Laparotomic B-Claim
myomectomy. I-Claim

3- O
Myoma B-Claim
embolization I-Claim
by I-Claim
arterial I-Claim
catheterization. I-Claim

4- O
Treatment B-Claim
with I-Claim
Gn-Rh I-Claim
analogues I-Claim
for I-Claim
three I-Claim
months I-Claim
before I-Claim
attempting I-Claim
pregnancy. I-Claim

5- O
Attempting B-Claim
pregnancy I-Claim
without I-Claim
any I-Claim
previous I-Claim
treatment. I-Claim

CORRECT O
ANSWER: O
5 O

The B-Claim
correct I-Claim
answer I-Claim
is I-Claim
5. I-Claim

An B-Claim
asymptomatic I-Claim
myoma I-Claim
of I-Claim
this I-Claim
size I-Claim
that I-Claim
does I-Claim
not I-Claim
deform I-Claim
the I-Claim
endometrial I-Claim
cavity I-Claim
is I-Claim
not I-Claim
a I-Claim
problem I-Claim
for I-Claim
pregnancy. I-Claim

QUESTION O
TYPE: O
SURGERY O

CLINICAL O
CASE: O

A B-Premise
76-year-old I-Premise
woman I-Premise
with I-Premise
no I-Premise
history I-Premise
other I-Premise
than I-Premise
hypertension I-Premise
consults I-Premise
for I-Premise
painless I-Premise
jaundice I-Premise
and I-Premise
pruritus I-Premise
with I-Premise
anorexia. I-Premise

Laboratory B-Premise
tests I-Premise
show I-Premise
a I-Premise
bilirubin I-Premise
level I-Premise
of I-Premise
12 I-Premise
mg/dl I-Premise
(with I-Premise
9.5 I-Premise
direct I-Premise
bilirubin). I-Premise

Abdominal B-Premise
ultrasound I-Premise
shows I-Premise
dilatation I-Premise
of I-Premise
the I-Premise
intrahepatic I-Premise
and I-Premise
extrahepatic I-Premise
biliary I-Premise
tract, I-Premise
together I-Premise
with I-Premise
a I-Premise
single I-Premise
2 I-Premise
cm I-Premise
nodule I-Premise
located I-Premise
peripherally I-Premise
in I-Premise
the I-Premise
anterior I-Premise
aspect I-Premise
of I-Premise
the I-Premise
left I-Premise
lobe. I-Premise

CT B-Premise
scan I-Premise
confirms I-Premise
the I-Premise
findings, I-Premise
also I-Premise
demonstrating I-Premise
the I-Premise
presence I-Premise
of I-Premise
a I-Premise
3.5 I-Premise
cm I-Premise
mass I-Premise
in I-Premise
the I-Premise
head I-Premise
of I-Premise
the I-Premise
pancreas. I-Premise

Fine B-Premise
needle I-Premise
aspiration I-Premise
confirms I-Premise
the I-Premise
diagnosis I-Premise
of I-Premise
adenocarcinoma. I-Premise

Indicate O
the O
best O
therapeutic O
option: O

1- O
Adjuvant B-Claim
chemo/radiotherapy, I-Claim
conditioning I-Claim
radical I-Claim
surgery I-Claim
to I-Claim
the I-Claim
initial I-Claim
response. I-Claim

2- O
Percutaneous B-Claim
external I-Claim
drainage I-Claim
is I-Claim
palliative, I-Claim
with I-Claim
eventual I-Claim
conversion I-Claim
to I-Claim
internal I-Claim
drainage I-Claim
in I-Claim
case I-Claim
of I-Claim
intolerance I-Claim
or I-Claim
complications. I-Claim

3- O
Surgical B-Claim
biliary I-Claim
bypass, I-Claim
with I-Claim
or I-Claim
without I-Claim
prophylactic I-Claim
gastrojejunostomy I-Claim
depending I-Claim
on I-Claim
intraoperative I-Claim
findings. I-Claim

4- O
Metallic B-Claim
biliary I-Claim
prosthesis I-Claim
by I-Claim
endoscopic I-Claim
retrograde I-Claim
cholangiography, I-Claim
with I-Claim
the I-Claim
option I-Claim
of I-Claim
palliative I-Claim
chemotherapy. I-Claim

5- O
Cephalic B-Claim
duodenopancreatectomy I-Claim
with I-Claim
radiofrequency I-Claim
ablation I-Claim
or I-Claim
alcoholization I-Claim
of I-Claim
the I-Claim
liver I-Claim
lesion. I-Claim

CORRECT O
ANSWER: O
4 O

I B-Claim
think I-Claim
the I-Claim
correct I-Claim
answer I-Claim
is I-Claim
4, I-Claim
although B-Claim
both I-Claim
lesions I-Claim
are I-Claim
resectable, I-Claim
pancreatic B-Claim
adenocarcinoma I-Claim
with I-Claim
synchronous I-Claim
hepatic I-Claim
metastases I-Claim
has I-Claim
no I-Claim
surgical I-Claim
indication I-Claim
because O
it B-Claim
does I-Claim
not I-Claim
prolong I-Claim
survival I-Claim
and I-Claim
has I-Claim
a I-Claim
high I-Claim
morbidity. I-Claim

Surgical B-Claim
bypass I-Claim
has I-Claim
more I-Claim
complications I-Claim
than I-Claim
placing I-Claim
a I-Claim
self-expanding I-Claim
metallic I-Claim
prosthesis I-Claim
that I-Claim
has I-Claim
a I-Claim
median I-Claim
patency I-Claim
of I-Claim
6 I-Claim
months I-Claim
which I-Claim
is I-Claim
similar I-Claim
to I-Claim
the I-Claim
median I-Claim
survival I-Claim
of I-Claim
a I-Claim
patient I-Claim
with I-Claim
hepatic I-Claim
metastases I-Claim
of I-Claim
pancreatic I-Claim
adenocarcinoma. I-Claim

QUESTION O
TYPE: O
GYNECOLOGY O
AND O
OBSTETRICS O

CLINICAL O
CASE: O

Patient B-Premise
76 I-Premise
years I-Premise
old, I-Premise
parity I-Premise
3-0-3-1, I-Premise
with I-Premise
menopause I-Premise
at I-Premise
age I-Premise
52. I-Premise

She B-Premise
reports I-Premise
that I-Premise
for I-Premise
at I-Premise
least I-Premise
4-5 I-Premise
years I-Premise
she I-Premise
has I-Premise
had I-Premise
vulvar I-Premise
pruritus I-Premise
of I-Premise
variable I-Premise
intensity I-Premise
which I-Premise
has I-Premise
been I-Premise
treated I-Premise
sometimes I-Premise
with I-Premise
self-medication I-Premise
and I-Premise
other I-Premise
times I-Premise
on I-Premise
the I-Premise
advice I-Premise
of I-Premise
her I-Premise
general I-Premise
practitioner I-Premise
with I-Premise
topical I-Premise
preparations I-Premise
(creams I-Premise
and I-Premise
washes). I-Premise

The B-Premise
pruritus I-Premise
has I-Premise
evolved I-Premise
intermittently, I-Premise
but I-Premise
for I-Premise
the I-Premise
last I-Premise
3-4 I-Premise
months I-Premise
she I-Premise
has I-Premise
also I-Premise
noticed I-Premise
a I-Premise
small I-Premise
lump I-Premise
on I-Premise
the I-Premise
left I-Premise
labium I-Premise
majus I-Premise
of I-Premise
the I-Premise
vulva, I-Premise
which I-Premise
has I-Premise
been I-Premise
leaking I-Premise
serohaematically I-Premise
on I-Premise
rubbing I-Premise
for I-Premise
a I-Premise
few I-Premise
days; I-Premise
she I-Premise
therefore I-Premise
consulted I-Premise
a I-Premise
gynecologist. I-Premise

On O
questioning, O
she B-Premise
reports I-Premise
occasional I-Premise
dysuria I-Premise
and I-Premise
her I-Premise
general I-Premise
condition I-Premise
is I-Premise
good. I-Premise

What O
is O
the O
most O
likely O
diagnosis O
in O
this O
patient? O

1- O
Genital B-Claim
herpes. I-Claim

2- O
Paget's B-Claim
disease I-Claim
of I-Claim
the I-Claim
vulva. I-Claim

3- O
Urethral B-Claim
caruncle. I-Claim

4- O
Chronic B-Claim
granuloma I-Claim
of I-Claim
the I-Claim
vulva. I-Claim

5- O
Vulvar B-Claim
squamous I-Claim
cell I-Claim
carcinoma. I-Claim

CORRECT O
ANSWER: O
5 O

The B-Claim
correct I-Claim
answer I-Claim
is I-Claim
5. I-Claim

Vulvar B-Claim
carcinoma I-Claim
is I-Claim
characterized I-Claim
by I-Claim
chronic I-Claim
vulvar I-Claim
itching I-Claim
resistant I-Claim
to I-Claim
multiple I-Claim
treatments, I-Claim
appearance I-Claim
of I-Claim
lumpiness I-Claim
or I-Claim
ulceration, I-Claim
dysuria I-Claim
and I-Claim
urinary I-Claim
urgency, I-Claim
and I-Claim
late I-Claim
pain I-Claim
and I-Claim
bleeding. I-Claim

QUESTION O
TYPE: O
GYNECOLOGY O
AND O
OBSTETRICS O

CLINICAL O
CASE: O

A B-Premise
59-year-old I-Premise
woman I-Premise
consults I-Premise
a I-Premise
gynecologist I-Premise
for I-Premise
a I-Premise
spontaneous, I-Premise
spontaneous, I-Premise
uniorificial I-Premise
discharge I-Premise
from I-Premise
the I-Premise
right I-Premise
nipple I-Premise
(unilateral) I-Premise
without B-Premise
palpable I-Premise
nodularity. I-Premise

What O
is O
the O
most O
likely O
diagnosis? O

1- O
Given B-Claim
the I-Claim
hematic I-Claim
nature I-Claim
of I-Claim
the I-Claim
discharge, I-Claim
the I-Claim
most I-Claim
likely I-Claim
diagnosis I-Claim
is I-Claim
infiltrating I-Claim
ductal I-Claim
carcinoma. I-Claim

2- O
Intraductal B-Claim
papilloma. I-Claim

3- O
Paget's B-Claim
disease I-Claim
of I-Claim
the I-Claim
nipple. I-Claim

4- O
Tumor B-Claim
hyperprolactinemia. I-Claim

5- O
Mammography B-Claim
will I-Claim
indicate I-Claim
the I-Claim
diagnosis. I-Claim

CORRECT O
ANSWER: O
2 O

The B-Claim
correct I-Claim
answer I-Claim
is I-Claim
2. I-Claim

In B-Claim
the I-Claim
presence I-Claim
of I-Claim
unilateral I-Claim
and I-Claim
uniorificial I-Claim
hematic I-Claim
telorrhea, I-Claim
the I-Claim
most I-Claim
frequent I-Claim
cause I-Claim
is I-Claim
intraductal I-Claim
papilloma I-Claim
(50%), I-Claim
followed I-Claim
by I-Claim
ductal I-Claim
ectasia I-Claim
and I-Claim
carcinoma. I-Claim

When B-Claim
associated I-Claim
with I-Claim
palpable I-Claim
mass, I-Claim
60% I-Claim
correspond I-Claim
to I-Claim
carcinoma. I-Claim

Paget's B-Claim
disease I-Claim
is I-Claim
of I-Claim
the I-Claim
eczematous I-Claim
type. I-Claim

In B-Claim
hyperprolactinemia, I-Claim
telorrhea I-Claim
is I-Claim
bilateral I-Claim
and I-Claim
pluriorificial. I-Claim

Mammography B-Claim
often I-Claim
does I-Claim
not I-Claim
show I-Claim
papillomas, I-Claim
being I-Claim
more I-Claim
useful I-Claim
ultrasound I-Claim
and I-Claim
galactography. I-Claim

QUESTION O
TYPE: O
HEMATOLOGY O

CLINICAL O
CASE: O

A B-Premise
35-year-old I-Premise
healthy I-Premise
woman I-Premise
consults I-Premise
for I-Premise
asthenia. I-Premise

The B-Premise
CBC I-Premise
shows I-Premise
microcytic I-Premise
and I-Premise
hypochromic I-Premise
anemia I-Premise
(hemoglobin I-Premise
7 I-Premise
g/dL, I-Premise
mean I-Premise
corpuscular I-Premise
volume I-Premise
68 I-Premise
fl, I-Premise
mean I-Premise
corpuscular I-Premise
hemoglobin I-Premise
24 I-Premise
pg) I-Premise
with B-Premise
an I-Premise
elevated I-Premise
red I-Premise
cell I-Premise
distribution I-Premise
amplitude I-Premise
(ADE I-Premise
20%), I-Premise
decreased B-Premise
reticulocytes I-Premise
(0.3%, I-Premise
30000/l I-Premise
absolute), I-Premise
decreased B-Premise
hemoglobin I-Premise
content I-Premise
in I-Premise
reticulocytes I-Premise
(17 I-Premise
pg) I-Premise
and O
discrete B-Premise
thrombocytosis I-Premise
(500000 I-Premise
platelets). I-Premise

With O
the O
CBC O
data, O
what O
would O
be O
your O
diagnostic O
suspicion O
even O
without O
having O
the O
patient's O
biochemistry? O

1- O
Thalassemic B-Claim
trait. I-Claim

2- O
Central B-Claim
anemia, I-Claim
arregenerative, I-Claim
due I-Claim
to I-Claim
folic I-Claim
acid I-Claim
deficiency. I-Claim

3- O
Peripheral, B-Claim
regenerative, I-Claim
hemolytic I-Claim
anemia. I-Claim

4- O
Peripheral B-Claim
anemia, I-Claim
regenerative, I-Claim
due I-Claim
to I-Claim
acute I-Claim
active I-Claim
hemorrhage. I-Claim

5- O
Central B-Claim
anemia, I-Claim
arregenerative, I-Claim
due I-Claim
to I-Claim
iron I-Claim
deficiency. I-Claim

CORRECT O
ANSWER: O
5 O

With B-Premise
the I-Premise
data I-Premise
we I-Premise
are I-Premise
given, I-Premise
the B-Claim
first I-Claim
thing I-Claim
that I-Claim
comes I-Claim
to I-Claim
mind I-Claim
is I-Claim
that I-Claim
it I-Claim
is I-Claim
an I-Claim
arregenerative I-Claim
anemia, I-Claim
since I-Claim
the I-Claim
bone I-Claim
marrow I-Claim
has I-Claim
not I-Claim
responded I-Claim
with I-Claim
an I-Claim
exaltation I-Claim
of I-Claim
erythropoiesis; I-Claim
in I-Claim
this I-Claim
way I-Claim
we I-Claim
have I-Claim
already I-Claim
eliminated I-Claim
the I-Claim
options I-Claim
that I-Claim
speak I-Claim
of I-Claim
regenerative I-Claim
anemia. I-Claim

The B-Claim
next I-Claim
thing I-Claim
that I-Claim
orients I-Claim
us I-Claim
towards I-Claim
the I-Claim
cause I-Claim
is I-Claim
that I-Claim
it I-Claim
is I-Claim
microcytic I-Claim
and I-Claim
hypochromic, I-Claim
which I-Claim
is I-Claim
characteristic I-Claim
of I-Claim
iron I-Claim
deficiency I-Claim
anemia, I-Claim
since I-Claim
folic I-Claim
deficiency I-Claim
gives I-Claim
rise I-Claim
to I-Claim
megaloblastic I-Claim
anemia I-Claim
and I-Claim
active I-Claim
hemorrhage I-Claim
does I-Claim
not I-Claim
give I-Claim
microcytosis I-Claim
or I-Claim
hypochromia, I-Claim
but I-Claim
normocytosis I-Claim
and I-Claim
normochromia. I-Claim

We B-Claim
are I-Claim
almost I-Claim
inclined I-Claim
to I-Claim
answer I-Claim
5, I-Claim
central I-Claim
arregenerative I-Claim
anemia I-Claim
due I-Claim
to I-Claim
iron I-Claim
deficiency...but I-Claim
there I-Claim
remains I-Claim
answer I-Claim
1, I-Claim
"thalassemic I-Claim
trait", I-Claim
which I-Claim
makes I-Claim
us I-Claim
uncomfortable I-Claim
and I-Claim
makes I-Claim
us I-Claim
doubt I-Claim
if I-Claim
we I-Claim
are I-Claim
not I-Claim
going I-Claim
for I-Claim
the I-Claim
apparently I-Claim
easy I-Claim
thing...until I-Claim
we I-Claim
remember I-Claim
that I-Claim
in I-Claim
thalassemia I-Claim
the I-Claim
ADE I-Claim
is I-Claim
normal. I-Claim

Definitely, B-Claim
this I-Claim
girl I-Claim
of I-Claim
childbearing I-Claim
age I-Claim
has I-Claim
iron I-Claim
deficiency I-Claim
anemia, I-Claim
something I-Claim
quite I-Claim
common. I-Claim

Those O
who O
have O
doubts O
can O
consult O
"Hematology. O

Manual O
básico O
razonado" O
by O
Jesús O
San O
Miguel. O
